Bout Information,Draw,No Contest,Round Finished,Method,Details,Fighter1,Fighter2,Loser,Winner,Loser Knockdowns,Loser Attempted Takedowns,Loser Takedowns Succeed,Loser Takedown Success Percentage,Loser Submission Attempts,Loser Guard Passages,Loser Reversals,Loser Attempted Significant Strikes,Loser Landed Significant Strikes,Loser Significant Landed Strikes Percentage,Loser Head Attempted Significant Strikes,Loser Head Landed Significant Strikes,Loser Head Landed Significant Strikes Percentage,Loser Body Attempted Significant Strikes,Loser Body Landed Significant Strikes,Loser Body Landed Significant Strikes Percentage,Loser Leg Attempted Significant Strikes,Loser Leg Landed Significant Strikes,Loser Leg Landed Significant Strikes Percentage,Loser At Distance Attempted Significant Strikes,Loser At Distance Landed Significant Strikes,Loser At Distance Landed Significant Strikes Percentage,Loser On Ground Attempted Significant Strikes,Loser On Ground Landed Significant Strikes,Loser On Ground Landed Significant Strikes Percentage,Loser In Clinch Attempted Significant Strikes,Loser In Clinch Landed Significant Strikes,Loser In Clinch Landed Significant Strikes Percentage,Winner Knockdowns,Winner Attempted Takedowns,Winner Takedowns Succeed,Winner Takedown Success Percentage,Winner Submission Attempts,Winner Guard Passages,Winner Reversals,Winner Attempted Significant Strikes,Winner Landed Significant Strikes,Winner Significant Landed Strikes Percentage,Winner Head Attempted Significant Strikes,Winner Head Landed Significant Strikes,Winner Head Landed Significant Strikes Percentage,Winner Body Attempted Significant Strikes,Winner Body Landed Significant Strikes,Winner Body Landed Significant Strikes Percentage,Winner Leg Attempted Significant Strikes,Winner Leg Landed Significant Strikes,Winner Leg Landed Significant Strikes Percentage,Winner At Distance Attempted Significant Strikes,Winner At Distance Landed Significant Strikes,Winner At Distance Landed Significant Strikes Percentage,Winner On Ground Attempted Significant Strikes,Winner On Ground Landed Significant Strikes,Winner On Ground Landed Significant Strikes Percentage,Winner In Clinch Attempted Significant Strikes,Winner In Clinch Landed Significant Strikes,Winner In Clinch Landed Significant Strikes Percentage
Open Weight Bout,False,False, 2, Decision - Unanimous,, Scott Ferrozzo, David Abbott, David Abbott, Scott Ferrozzo,0,0,1,0,0,0,0,50,21,42,49,20,41.0,1,1,100.0,0,0,0,39,15,39.0,11,6,55.0,0,0,0,0,0,1,0,0,0,0,94,60,63,48,17,36.0,37,34,92.0,9,9,100.0,43,17,40.0,51,43,85.0,0,0,0
Open Weight Bout,False,False, 1, KO/TKO, Punches to Head From Half Guard Submission to Strikes, Mark Coleman, Brian Johnston, Brian Johnston, Mark Coleman,0,0,0,0,0,0,0,5,3,60,2,0,0.0,0,0,0,3,3,100.0,5,3,60.0,0,0,0,0,0,0,0,1,1,100,0,1,0,10,9,90,10,9,90.0,0,0,0,0,0,0,0,0,0,0,0,0,10,9,90.0
Open Weight Bout,False,False, 1, Decision - Unanimous,, Jerry Bohlander, Fabio Gurgel, Fabio Gurgel, Jerry Bohlander,0,1,3,33,1,1,0,3,2,66,2,1,50.0,1,1,100.0,0,0,0,2,1,50.0,1,1,100.0,0,0,0,0,1,1,100,0,0,1,21,18,85,11,9,82.0,5,5,100.0,5,4,80.0,2,1,50.0,5,5,100.0,14,12,86.0
Open Weight Bout,False,False, 1, Submission, Forearm Choke From Half Guard, David Abbott, Sam Adkins, Sam Adkins, David Abbott,0,0,0,0,0,0,0,2,0,0,2,0,0.0,0,0,0,0,0,0,2,0,0.0,0,0,0,0,0,0,0,1,1,100,1,1,0,9,8,88,6,5,84.0,3,3,100.0,0,0,0,0,0,0,0,0,0,9,8,89.0
Open Weight Bout,False,False, 1, KO/TKO, Punches to Head From Mount, Brian Johnston, Reza Nasri, Reza Nasri, Brian Johnston,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,100,0,2,0,8,6,75,7,5,72.0,1,1,100.0,0,0,0,0,0,0,2,1,50.0,6,5,84.0
Open Weight Bout,False,False, 1, Submission, Neck Crank From Side Control, Mark Coleman, Julian Sanchez, Julian Sanchez, Mark Coleman,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,100,2,0,0,7,7,100,7,7,100.0,0,0,0,0,0,0,1,1,100.0,0,0,0,6,6,100.0
Open Weight Bout,False,False, 1, KO/TKO, Punches to Head From Back Control Submission to Strikes, Roberto Traven, Dave Berry, Dave Berry, Roberto Traven,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Open Weight Bout,False,False, 1, Submission, Injury, Scott Ferrozzo, Sam Fulton, Sam Fulton, Scott Ferrozzo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UFC 10 Tournament Title Bout,False,False, 1, KO/TKO, Headbutts to Head From Side Control, Mark Coleman, Don Frye, Don Frye, Mark Coleman,0,0,2,0,0,0,1,6,1,16,6,1,17.0,0,0,0,0,0,0,6,1,17.0,0,0,0,0,0,0,0,3,5,60,2,6,0,60,34,56,56,30,54.0,4,4,100.0,0,0,0,4,2,50.0,5,4,80.0,51,28,55.0
Open Weight Bout,False,False, 1, Submission,, Mark Coleman, Gary Goodridge, Gary Goodridge, Mark Coleman,0,0,0,0,0,0,0,7,3,42,4,1,25.0,2,1,50.0,1,1,100.0,3,0,0.0,4,3,75.0,0,0,0,0,2,2,100,0,2,0,48,33,68,48,33,69.0,0,0,0,0,0,0,3,2,67.0,26,19,74.0,19,12,64.0
