Bout Information,Draw,No Contest,Round Finished,Method,Details,Fighter1,Fighter2,Loser,Winner,Loser Knockdowns,Loser Attempted Takedowns,Loser Takedowns Succeed,Loser Takedown Success Percentage,Loser Submission Attempts,Loser Guard Passages,Loser Reversals,Loser Attempted Significant Strikes,Loser Landed Significant Strikes,Loser Significant Landed Strikes Percentage,Loser Head Attempted Significant Strikes,Loser Head Landed Significant Strikes,Loser Head Landed Significant Strikes Percentage,Loser Body Attempted Significant Strikes,Loser Body Landed Significant Strikes,Loser Body Landed Significant Strikes Percentage,Loser Leg Attempted Significant Strikes,Loser Leg Landed Significant Strikes,Loser Leg Landed Significant Strikes Percentage,Loser At Distance Attempted Significant Strikes,Loser At Distance Landed Significant Strikes,Loser At Distance Landed Significant Strikes Percentage,Loser On Ground Attempted Significant Strikes,Loser On Ground Landed Significant Strikes,Loser On Ground Landed Significant Strikes Percentage,Loser In Clinch Attempted Significant Strikes,Loser In Clinch Landed Significant Strikes,Loser In Clinch Landed Significant Strikes Percentage,Winner Knockdowns,Winner Attempted Takedowns,Winner Takedowns Succeed,Winner Takedown Success Percentage,Winner Submission Attempts,Winner Guard Passages,Winner Reversals,Winner Attempted Significant Strikes,Winner Landed Significant Strikes,Winner Significant Landed Strikes Percentage,Winner Head Attempted Significant Strikes,Winner Head Landed Significant Strikes,Winner Head Landed Significant Strikes Percentage,Winner Body Attempted Significant Strikes,Winner Body Landed Significant Strikes,Winner Body Landed Significant Strikes Percentage,Winner Leg Attempted Significant Strikes,Winner Leg Landed Significant Strikes,Winner Leg Landed Significant Strikes Percentage,Winner At Distance Attempted Significant Strikes,Winner At Distance Landed Significant Strikes,Winner At Distance Landed Significant Strikes Percentage,Winner On Ground Attempted Significant Strikes,Winner On Ground Landed Significant Strikes,Winner On Ground Landed Significant Strikes Percentage,Winner In Clinch Attempted Significant Strikes,Winner In Clinch Landed Significant Strikes,Winner In Clinch Landed Significant Strikes Percentage
UFC Flyweight Title Bout,False,False, 2, KO/TKO, Punch to Head At Distance, Joseph Benavidez, Deiveson Figueiredo, Joseph Benavidez, Deiveson Figueiredo,0,0,2,0,0,0,0,94,46,48,63,28,45.0,13,8,62.0,18,10,56.0,78,36,47.0,16,10,63.0,0,0,0,1,1,1,100,1,0,0,49,25,51,39,18,47.0,10,7,70.0,0,0,0,44,20,46.0,2,2,100.0,3,3,100.0
Women's Featherweight Bout,False,False, 1, KO/TKO, Punches to Head From Mount, Felicia Spencer, Zarah Fairn, Zarah Fairn, Felicia Spencer,0,0,0,0,0,0,0,28,13,46,27,12,45.0,1,1,100.0,0,0,0,26,12,47.0,2,1,50.0,0,0,0,0,1,2,50,0,2,0,64,40,62,61,38,63.0,1,1,100.0,2,1,50.0,24,9,38.0,1,1,100.0,39,30,77.0
Light Heavyweight Bout,False,False, 1, KO/TKO, Punches to Head At Distance, Ion Cutelaba, Magomed Ankalaev, Ion Cutelaba, Magomed Ankalaev,0,0,0,0,0,0,0,11,5,45,8,3,38.0,1,0,0.0,2,2,100.0,11,5,46.0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,8,66,10,6,60.0,1,1,100.0,1,1,100.0,12,8,67.0,0,0,0,0,0,0
Women's Featherweight Bout,False,False, 1, KO/TKO, Punch to Head At Distance, Megan Anderson, Norma Dumont, Norma Dumont, Megan Anderson,0,1,3,33,0,0,0,16,5,31,9,1,12.0,5,4,80.0,2,0,0.0,11,1,10.0,5,4,80.0,0,0,0,1,0,1,0,0,0,1,14,7,50,12,6,50.0,2,1,50.0,0,0,0,11,5,46.0,2,2,100.0,1,0,0.0
Featherweight Bout,False,False, 2, Submission, Rear Naked Choke, Grant Dawson, Darrick Minner, Darrick Minner, Grant Dawson,0,1,1,100,2,0,1,7,4,57,3,1,34.0,1,1,100.0,3,2,67.0,5,2,40.0,1,1,100.0,1,1,100.0,0,2,3,66,2,6,0,22,15,68,21,14,67.0,1,1,100.0,0,0,0,2,1,50.0,0,0,0,20,14,70.0
Bantamweight Bout,False,False, 3, Decision - Unanimous,, Gabriel Silva, Kyler Phillips, Gabriel Silva, Kyler Phillips,0,2,6,33,1,0,0,97,31,31,85,22,26.0,9,6,67.0,3,3,100.0,89,27,31.0,3,1,34.0,5,3,60.0,0,2,4,50,1,4,0,168,89,52,139,66,48.0,19,13,69.0,10,10,100.0,124,58,47.0,15,11,74.0,29,20,69.0
Middleweight Bout,False,False, 1, KO/TKO, Punches to Head On Ground, Brendan Allen, Tom Breese, Tom Breese, Brendan Allen,0,0,1,0,0,0,0,5,4,80,0,0,0,5,4,80.0,0,0,0,1,0,0.0,4,4,100.0,0,0,0,0,0,1,0,0,2,0,29,20,68,26,17,66.0,3,3,100.0,0,0,0,3,2,67.0,3,2,67.0,23,16,70.0
Heavyweight Bout,False,False, 3, Decision - Unanimous,, Marcin Tybura, Serghei Spivac, Serghei Spivac, Marcin Tybura,0,0,1,0,0,0,0,83,26,31,80,23,29.0,3,3,100.0,0,0,0,74,20,28.0,9,6,67.0,0,0,0,0,2,8,25,0,3,0,106,43,40,90,36,40.0,16,7,44.0,0,0,0,63,15,24.0,8,5,63.0,35,23,66.0
Lightweight Bout,False,False, 3, Decision - Unanimous,, Luis Pena, Steve Garcia, Steve Garcia, Luis Pena,0,1,1,100,1,0,0,39,21,53,32,15,47.0,3,2,67.0,4,4,100.0,27,14,52.0,1,1,100.0,11,6,55.0,0,0,1,0,1,3,0,42,27,64,38,24,64.0,2,1,50.0,2,2,100.0,15,6,40.0,3,2,67.0,24,19,80.0
Featherweight Bout,False,False, 2, Submission, Guillotine Choke From Bottom Side Control, Jordan Griffin, TJ Brown, TJ Brown, Jordan Griffin,0,7,7,100,0,4,0,47,32,68,39,26,67.0,7,6,86.0,1,0,0.0,22,9,41.0,10,10,100.0,15,13,87.0,0,0,1,0,3,0,0,23,15,65,21,13,62.0,2,2,100.0,0,0,0,17,9,53.0,3,3,100.0,3,3,100.0
