Bout Information,Draw,No Contest,Round Finished,Method,Details,Fighter1,Fighter2,Loser,Winner,Loser Knockdowns,Loser Attempted Takedowns,Loser Takedowns Succeed,Loser Takedown Success Percentage,Loser Submission Attempts,Loser Guard Passages,Loser Reversals,Loser Attempted Significant Strikes,Loser Landed Significant Strikes,Loser Significant Landed Strikes Percentage,Loser Head Attempted Significant Strikes,Loser Head Landed Significant Strikes,Loser Head Landed Significant Strikes Percentage,Loser Body Attempted Significant Strikes,Loser Body Landed Significant Strikes,Loser Body Landed Significant Strikes Percentage,Loser Leg Attempted Significant Strikes,Loser Leg Landed Significant Strikes,Loser Leg Landed Significant Strikes Percentage,Loser At Distance Attempted Significant Strikes,Loser At Distance Landed Significant Strikes,Loser At Distance Landed Significant Strikes Percentage,Loser On Ground Attempted Significant Strikes,Loser On Ground Landed Significant Strikes,Loser On Ground Landed Significant Strikes Percentage,Loser In Clinch Attempted Significant Strikes,Loser In Clinch Landed Significant Strikes,Loser In Clinch Landed Significant Strikes Percentage,Winner Knockdowns,Winner Attempted Takedowns,Winner Takedowns Succeed,Winner Takedown Success Percentage,Winner Submission Attempts,Winner Guard Passages,Winner Reversals,Winner Attempted Significant Strikes,Winner Landed Significant Strikes,Winner Significant Landed Strikes Percentage,Winner Head Attempted Significant Strikes,Winner Head Landed Significant Strikes,Winner Head Landed Significant Strikes Percentage,Winner Body Attempted Significant Strikes,Winner Body Landed Significant Strikes,Winner Body Landed Significant Strikes Percentage,Winner Leg Attempted Significant Strikes,Winner Leg Landed Significant Strikes,Winner Leg Landed Significant Strikes Percentage,Winner At Distance Attempted Significant Strikes,Winner At Distance Landed Significant Strikes,Winner At Distance Landed Significant Strikes Percentage,Winner On Ground Attempted Significant Strikes,Winner On Ground Landed Significant Strikes,Winner On Ground Landed Significant Strikes Percentage,Winner In Clinch Attempted Significant Strikes,Winner In Clinch Landed Significant Strikes,Winner In Clinch Landed Significant Strikes Percentage
Featherweight Bout,False,False, 1, KO/TKO, Punches to Head From Mount, Aalon Cruz, Spike Carlyle, Aalon Cruz, Spike Carlyle,0,0,1,0,0,0,0,12,2,16,4,2,50.0,4,0,0.0,4,0,0.0,12,2,17.0,0,0,0,0,0,0,0,0,0,0,0,1,0,29,20,68,27,19,71.0,1,0,0.0,1,1,100.0,6,2,34.0,5,4,80.0,18,14,78.0
Welterweight Bout,False,False, 3, Decision - Unanimous,, Sean Brady, Ismail Naurdiev, Ismail Naurdiev, Sean Brady,0,0,1,0,0,0,0,87,37,42,64,16,25.0,10,10,100.0,13,11,85.0,79,33,42.0,8,4,50.0,0,0,0,0,4,9,44,1,6,0,91,47,51,71,30,43.0,3,3,100.0,17,14,83.0,73,32,44.0,1,1,100.0,17,14,83.0
Lightweight Bout,False,False, 5, Decision - Split,, Paul Felder, Dan Hooker, Paul Felder, Dan Hooker,0,0,1,0,0,0,0,230,110,47,170,64,38.0,26,19,74.0,34,27,80.0,218,105,49.0,12,5,42.0,0,0,0,0,1,5,20,0,1,0,221,122,55,161,72,45.0,13,10,77.0,47,40,86.0,217,120,56.0,4,2,50.0,0,0,0
Light Heavyweight Bout,False,False, 1, Submission, Kimura From Side Control, Jimmy Crute, Michal Oleksiejczuk, Michal Oleksiejczuk, Jimmy Crute,0,0,0,0,0,0,0,6,3,50,6,3,50.0,0,0,0,0,0,0,6,3,50.0,0,0,0,0,0,0,0,8,10,80,1,4,0,8,2,25,7,2,29.0,1,0,0.0,0,0,0,6,2,34.0,2,0,0.0,0,0,0
Women's Strawweight Bout,False,False, 3, Decision - Unanimous,, Karolina Kowalkiewicz, Xiaonan Yan, Karolina Kowalkiewicz, Xiaonan Yan,0,0,1,0,1,0,0,85,38,44,55,19,35.0,14,7,50.0,16,12,75.0,79,35,45.0,6,3,50.0,0,0,0,0,5,6,83,0,3,0,178,93,52,138,59,43.0,23,20,87.0,17,14,83.0,151,73,49.0,10,7,70.0,17,13,77.0
Heavyweight Bout,False,False, 1, KO/TKO, Punch to Head At Distance, Ben Sosoli, Marcos Rogerio de Lima, Ben Sosoli, Marcos Rogerio de Lima,0,0,0,0,0,0,0,17,5,29,16,4,25.0,1,1,100.0,0,0,0,17,5,30.0,0,0,0,0,0,0,1,0,0,0,0,0,0,34,19,55,30,15,50.0,2,2,100.0,2,2,100.0,33,18,55.0,0,0,0,1,1,100.0
Lightweight Bout,False,False, 3, Decision - Split,, Brad Riddell, Magomed Mustafaev, Magomed Mustafaev, Brad Riddell,0,8,11,72,0,0,0,46,28,60,23,10,44.0,11,7,64.0,12,11,92.0,27,12,45.0,10,8,80.0,9,8,89.0,1,1,1,100,0,2,0,72,38,52,49,21,43.0,17,12,71.0,6,5,84.0,45,20,45.0,3,3,100.0,24,15,63.0
Featherweight Bout,False,False, 1, KO/TKO, Punches to Head On Ground, Kevin Aguilar, Zubaira Tukhugov, Kevin Aguilar, Zubaira Tukhugov,0,0,0,0,0,0,0,28,9,32,22,4,19.0,4,3,75.0,2,2,100.0,28,9,33.0,0,0,0,0,0,0,2,0,0,0,0,0,0,36,28,77,34,26,77.0,2,2,100.0,0,0,0,22,15,69.0,0,0,0,14,13,93.0
Lightweight Bout,False,False, 2, KO/TKO, Punches to Head From Back Control, Jalin Turner, Josh Culibao, Josh Culibao, Jalin Turner,0,0,3,0,0,0,0,28,12,42,21,7,34.0,6,4,67.0,1,1,100.0,23,9,40.0,5,3,60.0,0,0,0,0,0,1,0,3,4,0,91,55,60,65,38,59.0,25,17,68.0,1,0,0.0,37,14,38.0,15,9,60.0,39,32,83.0
Welterweight Bout,False,False, 3, Decision - Unanimous,, Jake Matthews, Emil Meek, Emil Meek, Jake Matthews,0,0,1,0,0,0,0,118,50,42,95,35,37.0,12,10,84.0,11,5,46.0,78,19,25.0,29,21,73.0,11,10,91.0,1,4,7,57,0,3,0,73,33,45,70,32,46.0,3,1,34.0,0,0,0,62,26,42.0,5,4,80.0,6,3,50.0
Welterweight Bout,False,False, 1, KO/TKO, Punch to Head At Distance, Callan Potter, Kenan Song, Callan Potter, Kenan Song,0,1,1,100,0,1,0,15,7,46,14,6,43.0,1,1,100.0,0,0,0,12,5,42.0,3,2,67.0,0,0,0,1,0,0,0,0,0,0,35,17,48,29,12,42.0,6,5,84.0,0,0,0,29,14,49.0,5,2,40.0,1,1,100.0
Flyweight Bout,False,False, 3, Decision - Unanimous,, Kai Kara-France, Tyson Nam, Tyson Nam, Kai Kara-France,0,0,4,0,0,0,0,153,50,32,131,34,26.0,17,11,65.0,5,5,100.0,146,48,33.0,7,2,29.0,0,0,0,0,0,4,0,0,0,0,257,78,30,218,51,24.0,17,9,53.0,22,18,82.0,246,72,30.0,9,5,56.0,2,1,50.0
Women's Strawweight Bout,False,False, 3, Decision - Unanimous,, Loma Lookboonmee, Angela Hill, Loma Lookboonmee, Angela Hill,0,1,1,100,0,0,0,130,53,40,83,24,29.0,29,15,52.0,18,14,78.0,115,43,38.0,14,10,72.0,1,0,0.0,0,1,4,25,1,1,0,126,48,38,101,38,38.0,22,8,37.0,3,2,67.0,90,31,35.0,31,14,46.0,5,3,60.0
Women's Flyweight Bout,False,False, 1, KO/TKO, Punch to Head At Distance, Priscila Cachoeira, Shana Dobson, Shana Dobson, Priscila Cachoeira,0,0,0,0,0,0,0,11,5,45,9,4,45.0,2,1,50.0,0,0,0,11,5,46.0,0,0,0,0,0,0,1,0,0,0,0,0,0,18,8,44,18,8,45.0,0,0,0,0,0,0,17,8,48.0,0,0,0,1,0,0.0
Light Heavyweight Bout,False,False, 1, KO/TKO, Punch to Head At Distance, Corey Anderson, Jan Blachowicz, Corey Anderson, Jan Blachowicz,0,0,0,0,0,0,0,27,11,40,19,4,22.0,4,3,75.0,4,4,100.0,27,11,41.0,0,0,0,0,0,0,1,0,0,0,0,0,0,31,13,41,27,11,41.0,3,1,34.0,1,1,100.0,29,12,42.0,1,0,0.0,1,1,100.0
Welterweight Bout,False,False, 3, DQ, Knee to head of downed opponent, Diego Sanchez, Michel Pereira, Michel Pereira, Diego Sanchez,1,2,2,100,0,0,0,91,53,58,52,20,39.0,33,28,85.0,6,5,84.0,75,39,52.0,11,10,91.0,5,4,80.0,0,0,6,0,0,0,0,64,25,39,34,6,18.0,17,10,59.0,13,9,70.0,61,23,38.0,2,1,50.0,1,1,100.0
Women's Flyweight Bout,False,False, 3, Decision - Unanimous,, Montana De La Rosa, Mara Romero Borella, Mara Romero Borella, Montana De La Rosa,0,1,2,50,0,0,0,53,23,43,44,15,35.0,4,3,75.0,5,5,100.0,44,15,35.0,6,5,84.0,3,3,100.0,1,1,3,33,1,6,0,67,27,40,51,15,30.0,10,8,80.0,6,4,67.0,51,14,28.0,6,4,67.0,10,9,90.0
Lightweight Bout,False,False, 1, DQ, Knee to head of downed opponent, Brok Weaver, Kazula Vargas, Kazula Vargas, Brok Weaver,0,1,2,50,0,0,0,29,15,51,14,6,43.0,10,5,50.0,5,4,80.0,21,9,43.0,5,3,60.0,3,3,100.0,0,0,0,0,1,0,0,9,5,55,6,3,50.0,0,0,0,3,2,67.0,7,4,58.0,1,0,0.0,1,1,100.0
Flyweight Bout,False,False, 3, Decision - Unanimous,, Rogerio Bontorin, Ray Borg, Rogerio Bontorin, Ray Borg,0,0,2,0,0,0,0,20,9,45,14,3,22.0,5,5,100.0,1,1,100.0,13,3,24.0,6,5,84.0,1,1,100.0,0,10,19,52,0,6,0,45,35,77,44,35,80.0,1,0,0.0,0,0,0,7,2,29.0,16,12,75.0,22,21,96.0
Lightweight Bout,False,False, 3, Decision - Unanimous,, Lando Vannata, Yancy Medeiros, Yancy Medeiros, Lando Vannata,0,0,1,0,0,0,0,193,68,35,163,42,26.0,17,14,83.0,13,12,93.0,191,66,35.0,2,2,100.0,0,0,0,0,0,3,0,0,0,0,188,99,52,107,36,34.0,38,29,77.0,43,34,80.0,185,98,53.0,3,1,34.0,0,0,0
Welterweight Bout,False,False, 2, Submission, Guillotine Choke In Clinch, Tim Means, Daniel Rodriguez, Tim Means, Daniel Rodriguez,0,1,3,33,0,0,0,95,41,43,61,19,32.0,24,12,50.0,10,10,100.0,92,41,45.0,3,0,0.0,0,0,0,1,0,0,0,1,0,0,121,49,40,107,37,35.0,7,5,72.0,7,7,100.0,119,49,42.0,2,0,0.0,0,0,0
Bantamweight Bout,False,False, 3, KO/TKO, Punch to Head At Distance, John Dodson, Nathaniel Wood, Nathaniel Wood, John Dodson,0,1,1,100,0,0,0,99,46,46,63,24,39.0,15,6,40.0,21,16,77.0,92,40,44.0,6,5,84.0,1,1,100.0,1,0,0,0,0,0,0,72,39,54,64,31,49.0,5,5,100.0,3,3,100.0,62,31,50.0,5,4,80.0,5,4,80.0
Lightweight Bout,False,False, 3, Decision - Unanimous,, Jim Miller, Scott Holtzman, Jim Miller, Scott Holtzman,0,0,2,0,0,0,0,121,58,47,93,33,36.0,15,13,87.0,13,12,93.0,104,44,43.0,14,11,79.0,3,3,100.0,0,1,1,100,0,1,0,197,88,44,180,77,43.0,8,5,63.0,9,6,67.0,169,70,42.0,16,10,63.0,12,8,67.0
Light Heavyweight Bout,False,False, 3, Decision - Unanimous,, Devin Clark, Dequan Townsend, Dequan Townsend, Devin Clark,0,0,0,0,0,0,0,36,6,16,33,4,13.0,3,2,67.0,0,0,0,32,2,7.0,4,4,100.0,0,0,0,0,3,4,75,0,3,0,54,39,72,32,19,60.0,14,13,93.0,8,7,88.0,20,9,45.0,4,3,75.0,30,27,90.0
Bantamweight Bout,False,False, 3, Decision - Unanimous,, Casey Kenney, Merab Dvalishvili, Casey Kenney, Merab Dvalishvili,0,0,0,0,0,0,0,118,45,38,87,22,26.0,17,10,59.0,14,13,93.0,112,42,38.0,6,3,50.0,0,0,0,0,12,24,50,0,3,0,181,63,34,137,30,22.0,23,14,61.0,21,19,91.0,156,43,28.0,8,7,88.0,17,13,77.0
Women's Bantamweight Bout,False,False, 3, Decision - Unanimous,, Macy Chiasson, Shanna Young, Shanna Young, Macy Chiasson,0,0,1,0,0,1,0,71,40,56,57,32,57.0,12,7,59.0,2,1,50.0,54,24,45.0,17,16,95.0,0,0,0,0,3,8,37,0,4,0,166,86,51,120,48,40.0,46,38,83.0,0,0,0,49,16,33.0,61,45,74.0,56,25,45.0
Flyweight Bout,False,False, 2, KO/TKO, Punch to Head At Distance, Mark De La Rosa, Raulian Paiva, Mark De La Rosa, Raulian Paiva,0,0,2,0,0,0,0,124,45,36,91,21,24.0,24,15,63.0,9,9,100.0,122,44,37.0,2,1,50.0,0,0,0,1,0,0,0,0,0,0,126,54,42,98,33,34.0,13,10,77.0,15,11,74.0,116,45,39.0,9,8,89.0,1,1,100.0
UFC Light Heavyweight Title Bout,False,False, 5, Decision - Unanimous,, Jon Jones, Dominick Reyes, Dominick Reyes, Jon Jones,0,0,0,0,0,0,0,259,116,44,169,41,25.0,55,48,88.0,35,27,78.0,252,109,44.0,7,7,100.0,0,0,0,0,2,9,22,0,0,0,166,104,62,74,31,42.0,39,30,77.0,53,43,82.0,161,101,63.0,5,3,60.0,0,0,0
UFC Women's Flyweight Title Bout,False,False, 3, KO/TKO, Punches to Head From Crucifix, Valentina Shevchenko, Katlyn Chookagian, Katlyn Chookagian, Valentina Shevchenko,0,0,0,0,0,0,0,56,17,30,28,0,0.0,9,5,56.0,19,12,64.0,56,17,31.0,0,0,0,0,0,0,0,3,3,100,0,2,0,65,40,61,48,26,55.0,4,3,75.0,13,11,85.0,48,23,48.0,0,0,0,17,17,100.0
Heavyweight Bout,False,False, 1, KO/TKO, Punch to Head In Clinch, Juan Adams, Justin Tafa, Juan Adams, Justin Tafa,0,0,0,0,0,0,0,11,7,63,4,3,75.0,4,2,50.0,3,2,67.0,11,7,64.0,0,0,0,0,0,0,1,0,0,0,0,0,0,15,10,66,9,5,56.0,1,0,0.0,5,5,100.0,11,8,73.0,1,1,100.0,3,1,34.0
Featherweight Bout,False,False, 3, Decision - Split,, Mirsad Bektic, Dan Ige, Mirsad Bektic, Dan Ige,0,3,10,30,1,6,0,60,17,28,56,14,25.0,4,3,75.0,0,0,0,54,14,26.0,6,3,50.0,0,0,0,0,1,2,50,0,1,0,88,43,48,70,27,39.0,17,15,89.0,1,1,100.0,68,28,42.0,16,12,75.0,4,3,75.0
Heavyweight Bout,False,False, 3, Decision - Unanimous,, Derrick Lewis, Ilir Latifi, Ilir Latifi, Derrick Lewis,0,3,7,42,0,2,0,12,5,41,8,2,25.0,1,1,100.0,3,2,67.0,8,3,38.0,4,2,50.0,0,0,0,0,0,1,0,0,0,0,50,20,40,39,12,31.0,10,8,80.0,1,0,0.0,38,12,32.0,12,8,67.0,0,0,0
Middleweight Bout,False,False, 3, Decision - Split,, Trevin Giles, James Krause, James Krause, Trevin Giles,0,1,4,25,4,1,0,80,44,55,49,18,37.0,12,8,67.0,19,18,95.0,74,39,53.0,6,5,84.0,0,0,0,0,0,0,0,1,3,1,148,71,47,139,63,46.0,7,6,86.0,2,2,100.0,92,36,40.0,16,7,44.0,40,28,70.0
Women's Flyweight Bout,False,False, 3, Decision - Split,, Lauren Murphy, Andrea Lee, Andrea Lee, Lauren Murphy,0,0,3,0,1,0,0,267,104,38,194,51,27.0,51,34,67.0,22,19,87.0,261,99,38.0,5,4,80.0,1,1,100.0,0,2,4,50,0,1,1,197,80,40,181,70,39.0,15,9,60.0,1,1,100.0,190,75,40.0,7,5,72.0,0,0,0
Welterweight Bout,False,False, 1, KO/TKO, Punch to Head At Distance, Alex Morono, Khaos Williams, Alex Morono, Khaos Williams,0,0,0,0,0,0,0,4,1,25,3,1,34.0,1,0,0.0,0,0,0,4,1,25.0,0,0,0,0,0,0,1,0,1,0,0,0,0,17,10,58,12,6,50.0,4,4,100.0,1,0,0.0,10,4,40.0,4,4,100.0,3,2,67.0
Bantamweight Bout,False,False, 2, KO/TKO, Flying KneeHead, Miles Johns, Mario Bautista, Miles Johns, Mario Bautista,0,0,0,0,0,0,0,44,13,29,42,11,27.0,0,0,0,2,2,100.0,44,13,30.0,0,0,0,0,0,0,1,0,0,0,0,0,0,67,18,26,64,18,29.0,0,0,0,3,0,0.0,57,9,16.0,0,0,0,10,9,90.0
Bantamweight Bout,False,False, 1, KO/TKO, Punch to Head At Distance, Domingo Pilarte, Journey Newson, Domingo Pilarte, Journey Newson,0,0,0,0,0,0,0,4,1,25,3,0,0.0,1,1,100.0,0,0,0,2,0,0.0,2,1,50.0,0,0,0,1,0,0,0,0,0,0,10,6,60,10,6,60.0,0,0,0,0,0,0,5,1,20.0,0,0,0,5,5,100.0
Bantamweight Bout,False,False, 3, Decision - Split,, Andre Ewell, Jonathan Martinez, Jonathan Martinez, Andre Ewell,0,0,3,0,0,0,0,142,66,46,88,30,35.0,27,15,56.0,27,21,78.0,141,65,47.0,1,1,100.0,0,0,0,0,0,0,0,0,0,0,177,80,45,123,32,27.0,49,43,88.0,5,5,100.0,172,78,46.0,5,2,40.0,0,0,0
Featherweight Bout,False,False, 3, Decision - Unanimous,, Austin Lingo, Youssef Zalal, Austin Lingo, Youssef Zalal,0,1,1,100,0,1,0,61,12,19,47,5,11.0,10,5,50.0,4,2,50.0,56,11,20.0,5,1,20.0,0,0,0,0,6,12,50,2,2,0,55,31,56,37,16,44.0,9,6,67.0,9,9,100.0,51,28,55.0,2,2,100.0,2,1,50.0
Heavyweight Bout,False,False, 2, KO/TKO, Punches to Head At Distance, Curtis Blaydes, Junior Dos Santos, Junior Dos Santos, Curtis Blaydes,0,0,0,0,0,0,0,30,7,23,23,3,14.0,4,2,50.0,3,2,67.0,30,7,24.0,0,0,0,0,0,0,0,0,6,0,0,0,0,60,28,46,51,20,40.0,3,3,100.0,6,5,84.0,51,19,38.0,9,9,100.0,0,0,0
Welterweight Bout,False,False, 3, Decision - Unanimous,, Rafael Dos Anjos, Michael Chiesa, Rafael Dos Anjos, Michael Chiesa,0,0,1,0,0,0,0,36,14,38,23,2,9.0,4,4,100.0,9,8,89.0,36,14,39.0,0,0,0,0,0,0,0,6,8,75,0,3,0,51,9,17,45,6,14.0,5,2,40.0,1,1,100.0,49,9,19.0,1,0,0.0,1,0,0.0
Flyweight Bout,False,False, 1, Submission, Arm Triangle From Half Guard, Jordan Espinosa, Alex Perez, Jordan Espinosa, Alex Perez,0,0,0,0,0,0,0,13,2,15,9,1,12.0,0,0,0,4,1,25.0,13,2,16.0,0,0,0,0,0,0,0,1,1,100,1,1,0,9,2,22,6,0,0.0,1,0,0.0,2,2,100.0,9,2,23.0,0,0,0,0,0,0
Women's Strawweight Bout,False,False, 2, KO/TKO, Elbows to Head From Mount, Hannah Cifers, Angela Hill, Hannah Cifers, Angela Hill,0,0,0,0,0,0,0,108,46,42,67,16,24.0,19,12,64.0,22,18,82.0,100,43,43.0,8,3,38.0,0,0,0,0,1,1,100,0,2,0,155,70,45,136,57,42.0,18,12,67.0,1,1,100.0,106,38,36.0,6,3,50.0,43,29,68.0
Light Heavyweight Bout,False,False, 3, Decision - Unanimous,, Jamahal Hill, Darko Stosic, Darko Stosic, Jamahal Hill,0,6,9,66,0,4,0,72,31,43,56,20,36.0,7,3,43.0,9,8,89.0,59,25,43.0,1,0,0.0,12,6,50.0,0,0,0,0,0,0,0,233,101,43,167,49,30.0,53,40,76.0,13,12,93.0,232,101,44.0,1,0,0.0,0,0,0
Middleweight Bout,False,False, 3, Decision - Unanimous,, Bevon Lewis, Dequan Townsend, Dequan Townsend, Bevon Lewis,0,0,0,0,0,0,0,65,28,43,42,7,17.0,19,18,95.0,4,3,75.0,50,16,32.0,15,12,80.0,0,0,0,0,0,3,0,0,0,0,82,36,43,56,16,29.0,20,14,70.0,6,6,100.0,58,22,38.0,24,14,59.0,0,0,0
Featherweight Bout,False,False, 3, Decision - Unanimous,, Arnold Allen, Nik Lentz, Nik Lentz, Arnold Allen,0,0,9,0,0,0,0,172,49,28,140,25,18.0,23,16,70.0,9,8,89.0,162,42,26.0,10,7,70.0,0,0,0,0,0,1,0,0,0,0,131,63,48,124,58,47.0,7,5,72.0,0,0,0,128,61,48.0,3,2,67.0,0,0,0
Women's Flyweight Bout,False,False, 3, Decision - Unanimous,, Justine Kish, Lucie Pudilova, Lucie Pudilova, Justine Kish,0,0,0,0,0,0,0,143,29,20,131,22,17.0,11,6,55.0,1,1,100.0,137,25,19.0,6,4,67.0,0,0,0,0,1,1,100,0,1,0,129,62,48,70,17,25.0,23,16,70.0,36,29,81.0,108,50,47.0,14,10,72.0,7,2,29.0
Bantamweight Bout,False,False, 3, Decision - Unanimous,, Montel Jackson, Felipe Colares, Felipe Colares, Montel Jackson,0,1,8,12,3,1,0,28,7,25,17,2,12.0,8,4,50.0,3,1,34.0,23,6,27.0,5,1,20.0,0,0,0,1,11,15,73,0,3,0,103,75,72,91,64,71.0,10,9,90.0,2,2,100.0,47,32,69.0,55,43,79.0,1,0,0.0
Women's Bantamweight Bout,False,False, 3, Decision - Unanimous,, Sara McMann, Lina Lansberg, Lina Lansberg, Sara McMann,0,0,0,0,0,0,0,5,1,20,4,0,0.0,1,1,100.0,0,0,0,5,1,20.0,0,0,0,0,0,0,0,3,5,60,1,7,0,50,38,76,32,22,69.0,17,15,89.0,1,1,100.0,8,1,13.0,1,1,100.0,41,36,88.0
Bantamweight Bout,False,False, 3, Submission, Rear Naked Choke, Brett Johns, Tony Gravely, Tony Gravely, Brett Johns,0,5,7,71,0,2,0,44,26,59,25,9,36.0,7,6,86.0,12,11,92.0,18,5,28.0,26,21,81.0,0,0,0,0,6,9,66,3,4,1,47,36,76,43,33,77.0,3,2,67.0,1,1,100.0,11,3,28.0,8,8,100.0,28,25,90.0
