Bout Information,Draw,No Contest,Round Finished,Method,Details,Fighter1,Fighter2,Loser,Winner,Loser Knockdowns,Loser Attempted Takedowns,Loser Takedowns Succeed,Loser Takedown Success Percentage,Loser Submission Attempts,Loser Guard Passages,Loser Reversals,Loser Attempted Significant Strikes,Loser Landed Significant Strikes,Loser Significant Landed Strikes Percentage,Loser Head Attempted Significant Strikes,Loser Head Landed Significant Strikes,Loser Head Landed Significant Strikes Percentage,Loser Body Attempted Significant Strikes,Loser Body Landed Significant Strikes,Loser Body Landed Significant Strikes Percentage,Loser Leg Attempted Significant Strikes,Loser Leg Landed Significant Strikes,Loser Leg Landed Significant Strikes Percentage,Loser At Distance Attempted Significant Strikes,Loser At Distance Landed Significant Strikes,Loser At Distance Landed Significant Strikes Percentage,Loser On Ground Attempted Significant Strikes,Loser On Ground Landed Significant Strikes,Loser On Ground Landed Significant Strikes Percentage,Loser In Clinch Attempted Significant Strikes,Loser In Clinch Landed Significant Strikes,Loser In Clinch Landed Significant Strikes Percentage,Winner Knockdowns,Winner Attempted Takedowns,Winner Takedowns Succeed,Winner Takedown Success Percentage,Winner Submission Attempts,Winner Guard Passages,Winner Reversals,Winner Attempted Significant Strikes,Winner Landed Significant Strikes,Winner Significant Landed Strikes Percentage,Winner Head Attempted Significant Strikes,Winner Head Landed Significant Strikes,Winner Head Landed Significant Strikes Percentage,Winner Body Attempted Significant Strikes,Winner Body Landed Significant Strikes,Winner Body Landed Significant Strikes Percentage,Winner Leg Attempted Significant Strikes,Winner Leg Landed Significant Strikes,Winner Leg Landed Significant Strikes Percentage,Winner At Distance Attempted Significant Strikes,Winner At Distance Landed Significant Strikes,Winner At Distance Landed Significant Strikes Percentage,Winner On Ground Attempted Significant Strikes,Winner On Ground Landed Significant Strikes,Winner On Ground Landed Significant Strikes Percentage,Winner In Clinch Attempted Significant Strikes,Winner In Clinch Landed Significant Strikes,Winner In Clinch Landed Significant Strikes Percentage
UFC Interim Welterweight Title Bout,False,False, 5, Decision - Unanimous,, Nick Diaz, Carlos Condit, Nick Diaz, Carlos Condit,0,1,3,33,0,1,0,246,105,42,177,57,33.0,59,42,72.0,10,6,60.0,242,103,43.0,3,1,34.0,1,1,100.0,0,0,0,0,0,0,0,320,151,47,192,52,28.0,41,31,76.0,87,68,79.0,318,150,48.0,2,1,50.0,0,0,0
Heavyweight Bout,False,False, 3, Decision - Unanimous,, Roy Nelson, Fabricio Werdum, Roy Nelson, Fabricio Werdum,0,0,0,0,1,0,0,69,26,37,60,18,30.0,5,5,100.0,4,3,75.0,59,21,36.0,9,4,45.0,1,1,100.0,0,0,1,0,0,1,0,136,91,66,88,47,54.0,27,24,89.0,21,20,96.0,121,78,65.0,15,13,87.0,0,0,0
Welterweight Bout,False,False, 3, Decision - Split,, Josh Koscheck, Mike Pierce, Mike Pierce, Josh Koscheck,0,1,5,20,0,0,0,119,41,34,104,30,29.0,12,8,67.0,3,3,100.0,109,32,30.0,10,9,90.0,0,0,0,0,2,3,66,0,0,0,95,33,34,84,22,27.0,11,11,100.0,0,0,0,81,21,26.0,13,11,85.0,1,1,100.0
Bantamweight Bout,False,False, 3, Decision - Unanimous,, Renan Barao, Scott Jorgensen, Scott Jorgensen, Renan Barao,0,0,7,0,0,0,0,206,73,35,179,52,30.0,18,14,78.0,9,7,78.0,205,72,36.0,1,1,100.0,0,0,0,0,0,0,0,0,1,0,299,104,34,250,68,28.0,23,16,70.0,26,20,77.0,296,102,35.0,3,2,67.0,0,0,0
Middleweight Bout,False,False, 2, Submission, Rear Naked Choke, Ed Herman, Clifford Starks, Clifford Starks, Ed Herman,0,0,0,0,0,0,1,36,16,44,36,16,45.0,0,0,0,0,0,0,32,13,41.0,4,3,75.0,0,0,0,0,2,4,50,2,4,0,57,28,49,36,10,28.0,15,14,94.0,6,4,67.0,41,13,32.0,16,15,94.0,0,0,0
Featherweight Bout,False,False, 1, Submission, Armbar From Mount Triangle Armbar, Dustin Poirier, Max Holloway, Max Holloway, Dustin Poirier,0,0,0,0,0,0,0,32,11,34,26,8,31.0,5,2,40.0,1,1,100.0,30,11,37.0,2,0,0.0,0,0,0,0,1,3,33,3,2,0,25,11,44,19,6,32.0,1,0,0.0,5,5,100.0,21,7,34.0,2,2,100.0,2,2,100.0
Bantamweight Bout,False,False, 3, Decision - Split,, Alex Caceres, Edwin Figueroa, Alex Caceres, Edwin Figueroa,0,1,1,100,7,8,0,89,55,61,63,35,56.0,19,13,69.0,7,7,100.0,85,52,62.0,2,2,100.0,2,1,50.0,1,0,0,0,0,0,0,81,41,50,59,24,41.0,13,9,70.0,9,8,89.0,58,26,45.0,5,5,100.0,18,10,56.0
Welterweight Bout,False,False, 2, KO/TKO, Punches to Head At Distance, Matt Brown, Chris Cope, Chris Cope, Matt Brown,0,0,0,0,0,0,0,82,20,24,68,8,12.0,7,5,72.0,7,7,100.0,76,16,22.0,6,4,67.0,0,0,0,1,1,3,33,0,1,0,71,48,67,42,24,58.0,19,15,79.0,10,9,90.0,54,35,65.0,13,9,70.0,4,4,100.0
Welterweight Bout,False,False, 3, Decision - Split,, Matthew Riddle, Henry Martinez, Henry Martinez, Matthew Riddle,0,0,1,0,0,0,0,169,67,39,149,50,34.0,6,3,50.0,14,14,100.0,169,67,40.0,0,0,0,0,0,0,0,2,3,66,0,1,0,158,74,46,101,30,30.0,42,30,72.0,15,14,94.0,145,63,44.0,2,1,50.0,11,10,91.0
Middleweight Bout,False,False, 3, Decision - Unanimous,, Rafael Natal, Michael Kuiper, Michael Kuiper, Rafael Natal,1,0,0,0,0,0,1,62,30,48,52,24,47.0,4,3,75.0,6,3,50.0,26,8,31.0,12,4,34.0,24,18,75.0,0,6,16,37,2,5,0,72,36,50,56,25,45.0,8,5,63.0,8,6,75.0,51,24,48.0,19,11,58.0,2,1,50.0
