Bout Information,Draw,No Contest,Round Finished,Method,Details,Fighter1,Fighter2,Loser,Winner,Loser Knockdowns,Loser Attempted Takedowns,Loser Takedowns Succeed,Loser Takedown Success Percentage,Loser Submission Attempts,Loser Guard Passages,Loser Reversals,Loser Attempted Significant Strikes,Loser Landed Significant Strikes,Loser Significant Landed Strikes Percentage,Loser Head Attempted Significant Strikes,Loser Head Landed Significant Strikes,Loser Head Landed Significant Strikes Percentage,Loser Body Attempted Significant Strikes,Loser Body Landed Significant Strikes,Loser Body Landed Significant Strikes Percentage,Loser Leg Attempted Significant Strikes,Loser Leg Landed Significant Strikes,Loser Leg Landed Significant Strikes Percentage,Loser At Distance Attempted Significant Strikes,Loser At Distance Landed Significant Strikes,Loser At Distance Landed Significant Strikes Percentage,Loser On Ground Attempted Significant Strikes,Loser On Ground Landed Significant Strikes,Loser On Ground Landed Significant Strikes Percentage,Loser In Clinch Attempted Significant Strikes,Loser In Clinch Landed Significant Strikes,Loser In Clinch Landed Significant Strikes Percentage,Winner Knockdowns,Winner Attempted Takedowns,Winner Takedowns Succeed,Winner Takedown Success Percentage,Winner Submission Attempts,Winner Guard Passages,Winner Reversals,Winner Attempted Significant Strikes,Winner Landed Significant Strikes,Winner Significant Landed Strikes Percentage,Winner Head Attempted Significant Strikes,Winner Head Landed Significant Strikes,Winner Head Landed Significant Strikes Percentage,Winner Body Attempted Significant Strikes,Winner Body Landed Significant Strikes,Winner Body Landed Significant Strikes Percentage,Winner Leg Attempted Significant Strikes,Winner Leg Landed Significant Strikes,Winner Leg Landed Significant Strikes Percentage,Winner At Distance Attempted Significant Strikes,Winner At Distance Landed Significant Strikes,Winner At Distance Landed Significant Strikes Percentage,Winner On Ground Attempted Significant Strikes,Winner On Ground Landed Significant Strikes,Winner On Ground Landed Significant Strikes Percentage,Winner In Clinch Attempted Significant Strikes,Winner In Clinch Landed Significant Strikes,Winner In Clinch Landed Significant Strikes Percentage
Welterweight Bout,False,False, 1, KO/TKO, Kick to Head At Distance, Dan Stittgen, Stephen Thompson, Dan Stittgen, Stephen Thompson,0,0,0,0,0,0,0,22,8,36,5,0,0.0,5,1,20.0,12,7,59.0,22,8,37.0,0,0,0,0,0,0,1,0,0,0,0,0,0,38,22,57,23,9,40.0,9,7,78.0,6,6,100.0,36,20,56.0,0,0,0,2,2,100.0
Light Heavyweight Bout,False,False, 5, Decision - Unanimous,, Rashad Evans, Phil Davis, Phil Davis, Rashad Evans,0,2,9,22,0,0,0,197,51,25,145,21,15.0,31,17,55.0,21,13,62.0,173,37,22.0,24,14,59.0,0,0,0,0,3,4,75,0,6,1,162,62,38,151,56,38.0,10,5,50.0,1,1,100.0,116,34,30.0,28,14,50.0,18,14,78.0
Middleweight Bout,False,False, 3, Decision - Unanimous,, Chael Sonnen, Michael Bisping, Michael Bisping, Chael Sonnen,0,1,3,33,0,0,0,86,30,34,68,17,25.0,16,11,69.0,2,2,100.0,64,14,22.0,19,14,74.0,3,2,67.0,0,4,7,57,0,2,0,97,40,41,76,24,32.0,16,12,75.0,5,4,80.0,56,14,25.0,21,15,72.0,20,11,56.0
Middleweight Bout,False,False, 3, Decision - Unanimous,, Demian Maia, Chris Weidman, Demian Maia, Chris Weidman,0,0,7,0,0,0,0,169,51,30,145,35,25.0,20,14,70.0,4,2,50.0,143,39,28.0,26,12,47.0,0,0,0,0,4,6,66,0,2,0,166,58,34,145,43,30.0,15,10,67.0,6,5,84.0,149,49,33.0,15,7,47.0,2,2,100.0
Lightweight Bout,False,False, 2, TKO - Doctor's Stoppage, Eye Injury, Evan Dunham, Nik Lentz, Nik Lentz, Evan Dunham,0,2,8,25,0,0,0,76,39,51,61,28,46.0,12,8,67.0,3,3,100.0,51,25,50.0,25,14,57.0,0,0,0,0,2,2,100,1,1,0,97,68,70,94,65,70.0,3,3,100.0,0,0,0,66,42,64.0,20,17,85.0,11,9,82.0
Heavyweight Bout,False,False, 3, Decision - Unanimous,, Mike Russow, Jon Olav Einemo, Jon Olav Einemo, Mike Russow,0,0,0,0,0,1,1,43,31,72,30,18,60.0,9,9,100.0,4,4,100.0,24,17,71.0,13,12,93.0,6,2,34.0,0,6,10,60,0,2,0,37,21,56,31,16,52.0,6,5,84.0,0,0,0,26,12,47.0,1,0,0.0,10,9,90.0
Featherweight Bout,False,False, 2, KO/TKO, Punch to Head At Distance, Cub Swanson, George Roop, George Roop, Cub Swanson,0,0,1,0,0,0,0,99,35,35,63,15,24.0,23,12,53.0,13,8,62.0,88,28,32.0,10,6,60.0,1,1,100.0,1,2,2,100,0,0,0,66,43,65,45,24,54.0,10,9,90.0,11,10,91.0,48,28,59.0,5,5,100.0,13,10,77.0
Featherweight Bout,False,False, 1, Submission,, Charles Oliveira, Eric Wisely, Eric Wisely, Charles Oliveira,0,0,0,0,0,0,0,4,2,50,1,0,0.0,2,1,50.0,1,1,100.0,4,2,50.0,0,0,0,0,0,0,0,1,1,100,2,0,0,12,6,50,6,2,34.0,2,1,50.0,4,3,75.0,5,3,60.0,0,0,0,7,3,43.0
Lightweight Bout,False,False, 3, Decision - Unanimous,, Michael Johnson, Shane Roller, Shane Roller, Michael Johnson,0,1,12,8,0,1,0,92,56,60,79,49,63.0,12,6,50.0,1,1,100.0,57,26,46.0,6,5,84.0,29,25,87.0,0,1,1,100,0,0,1,136,64,47,113,44,39.0,7,5,72.0,16,15,94.0,110,42,39.0,20,19,95.0,6,3,50.0
Heavyweight Bout,False,False, 1, KO/TKO, Punches to Head At Distance, Joey Beltran, Lavar Johnson, Joey Beltran, Lavar Johnson,0,0,3,0,0,0,0,71,22,30,57,11,20.0,10,7,70.0,4,4,100.0,68,19,28.0,3,3,100.0,0,0,0,1,0,0,0,0,0,0,92,65,70,75,49,66.0,11,10,91.0,6,6,100.0,75,51,68.0,17,14,83.0,0,0,0
Middleweight Bout,False,False, 3, Submission, Guillotine Choke Standing, Chris Camozzi, Dustin Jacoby, Dustin Jacoby, Chris Camozzi,0,0,0,0,0,0,0,126,30,23,100,16,16.0,16,7,44.0,10,7,70.0,124,29,24.0,2,1,50.0,0,0,0,0,0,1,0,2,0,0,128,44,34,103,24,24.0,8,4,50.0,17,16,95.0,122,42,35.0,5,2,40.0,1,0,0.0
Lightweight Bout,False,False, 1, Submission, Rear Naked Choke Standing Rear Naked Choke, Melvin Guillard, Jim Miller, Melvin Guillard, Jim Miller,0,0,0,0,0,0,0,26,16,61,21,12,58.0,4,4,100.0,1,0,0.0,14,7,50.0,6,4,67.0,6,5,84.0,0,1,3,33,1,2,0,12,4,33,7,2,29.0,3,2,67.0,2,0,0.0,12,4,34.0,0,0,0,0,0,0
Welterweight Bout,False,False, 1, Submission, Guillotine Choke After Drop to Half Guard Technical Submission, Duane Ludwig, Josh Neer, Duane Ludwig, Josh Neer,0,0,0,0,0,0,0,46,24,52,33,11,34.0,12,12,100.0,1,1,100.0,35,14,40.0,11,10,91.0,0,0,0,0,1,3,33,1,0,0,20,5,25,17,3,18.0,3,2,67.0,0,0,0,20,5,25.0,0,0,0,0,0,0
Bantamweight Bout,False,False, 3, Decision - Majority,, Mike Easton, Jared Papazian, Jared Papazian, Mike Easton,0,0,3,0,0,0,0,167,68,40,131,43,33.0,25,16,64.0,11,9,82.0,147,55,38.0,20,13,65.0,0,0,0,0,1,3,33,0,2,0,152,85,55,95,37,39.0,35,30,86.0,22,18,82.0,124,60,49.0,28,25,90.0,0,0,0
Heavyweight Bout,False,False, 1, KO/TKO, Punch to Head At Distance, Pat Barry, Christian Morecraft, Christian Morecraft, Pat Barry,0,2,3,66,1,2,0,19,3,15,18,3,17.0,0,0,0,1,0,0.0,17,2,12.0,0,0,0,2,1,50.0,1,0,0,0,0,0,0,13,12,92,10,10,100.0,0,0,0,3,2,67.0,9,8,89.0,0,0,0,4,4,100.0
Middleweight Bout,False,False, 2, KO/TKO, Punches to Head On Ground, Jorge Rivera, Eric Schafer, Eric Schafer, Jorge Rivera,0,2,5,40,0,3,0,9,6,66,6,3,50.0,1,1,100.0,2,2,100.0,4,1,25.0,0,0,0,5,5,100.0,0,0,0,0,0,0,1,17,6,35,17,6,36.0,0,0,0,0,0,0,8,0,0.0,0,0,0,9,6,67.0
Lightweight Bout,False,False, 3, Submission, Rear Naked Choke, Kamal Shalorus, Khabib Nurmagomedov, Kamal Shalorus, Khabib Nurmagomedov,0,0,2,0,0,0,0,44,13,29,37,9,25.0,5,2,40.0,2,2,100.0,40,11,28.0,4,2,50.0,0,0,0,1,3,9,33,1,7,0,77,35,45,72,32,45.0,4,3,75.0,1,0,0.0,47,15,32.0,4,3,75.0,26,17,66.0
Welterweight Bout,False,False, 3, Decision - Unanimous,, Charlie Brenneman, Daniel Roberts, Daniel Roberts, Charlie Brenneman,0,0,1,0,3,0,0,11,3,27,10,2,20.0,1,1,100.0,0,0,0,11,3,28.0,0,0,0,0,0,0,0,2,5,40,0,8,0,26,24,92,10,8,80.0,13,13,100.0,3,3,100.0,5,4,80.0,1,1,100.0,20,19,95.0
Lightweight Bout,False,False, 1, Submission, Rear Naked Choke, Fabricio Camoes, Tommy Hayden, Tommy Hayden, Fabricio Camoes,0,2,3,66,0,1,0,21,7,33,18,5,28.0,1,1,100.0,2,1,50.0,20,6,30.0,1,1,100.0,0,0,0,0,1,4,25,1,1,0,13,6,46,12,5,42.0,0,0,0,1,1,100.0,7,2,29.0,1,0,0.0,5,4,80.0
Featherweight Bout,False,False, 1, Submission, Rear Naked Choke, Daniel Pineda, Pat Schilling, Pat Schilling, Daniel Pineda,0,0,0,0,0,0,0,7,4,57,6,3,50.0,0,0,0,1,1,100.0,7,4,58.0,0,0,0,0,0,0,0,1,1,100,1,2,0,24,19,79,21,16,77.0,1,1,100.0,2,2,100.0,12,8,67.0,0,0,0,12,11,92.0
Bantamweight Bout,False,False, 1, KO/TKO, Elbows to Head In Clinch, Joseph Sandoval, Nick Denis, Joseph Sandoval, Nick Denis,0,0,0,0,0,0,0,4,3,75,4,3,75.0,0,0,0,0,0,0,4,3,75.0,0,0,0,0,0,0,1,0,0,0,0,0,0,23,11,47,23,11,48.0,0,0,0,0,0,0,18,7,39.0,5,4,80.0,0,0,0
UFC Featherweight Title Bout,False,False, 1, KO/TKO, Knee to Head In Clinch, Jose Aldo, Chad Mendes, Chad Mendes, Jose Aldo,0,0,7,0,0,0,0,23,13,56,9,1,12.0,1,1,100.0,13,11,85.0,19,9,48.0,4,4,100.0,0,0,0,1,0,0,0,0,0,0,23,11,47,14,6,43.0,1,1,100.0,8,4,50.0,18,7,39.0,2,1,50.0,3,3,100.0
Middleweight Bout,False,False, 1, Submission, Rear Naked Choke, Vitor Belfort, Anthony Johnson, Anthony Johnson, Vitor Belfort,0,2,8,25,0,0,0,16,4,25,14,3,22.0,1,1,100.0,1,0,0.0,11,3,28.0,1,0,0.0,4,1,25.0,0,0,0,0,1,1,0,29,14,48,28,14,50.0,1,0,0.0,0,0,0,10,2,20.0,6,1,17.0,13,11,85.0
Middleweight Bout,False,False, 1, Submission, Heel Hook On Ground, Rousimar Palhares, Mike Massenzio, Mike Massenzio, Rousimar Palhares,0,0,0,0,0,0,0,6,0,0,5,0,0.0,0,0,0,1,0,0.0,6,0,0.0,0,0,0,0,0,0,0,0,1,0,1,0,0,8,4,50,3,0,0.0,0,0,0,5,4,80.0,7,4,58.0,1,0,0.0,0,0,0
Welterweight Bout,False,False, 1, DQ, Punches to Back of Head by Silva, Erick Silva, Carlo Prater, Erick Silva, Carlo Prater,0,0,0,0,0,0,0,10,8,80,9,7,78.0,1,1,100.0,0,0,0,2,1,50.0,0,0,0,8,7,88.0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lightweight Bout,False,False, 3, KO/TKO, Kick to Head At Distance, Edson Barboza, Terry Etim, Terry Etim, Edson Barboza,0,2,6,33,0,0,0,105,26,24,91,15,17.0,5,3,60.0,9,8,89.0,103,24,24.0,2,2,100.0,0,0,0,1,0,0,0,0,0,0,129,47,36,61,14,23.0,36,10,28.0,32,23,72.0,125,43,35.0,4,4,100.0,0,0,0
Lightweight Bout,False,False, 3, Decision - Unanimous,, Thiago Tavares, Sam Stout, Sam Stout, Thiago Tavares,0,0,0,0,0,0,0,172,45,26,137,18,14.0,27,22,82.0,8,5,63.0,165,40,25.0,7,5,72.0,0,0,0,0,2,11,18,0,0,0,128,50,39,92,22,24.0,30,24,80.0,6,4,67.0,127,49,39.0,1,1,100.0,0,0,0
Heavyweight Bout,False,False, 1, Submission, Rear Naked Choke, Gabriel Gonzaga, Ednaldo Oliveira, Ednaldo Oliveira, Gabriel Gonzaga,0,0,0,0,0,0,0,14,0,0,12,0,0.0,2,0,0.0,0,0,0,14,0,0.0,0,0,0,0,0,0,0,2,2,100,1,3,0,7,2,28,5,0,0.0,2,2,100.0,0,0,0,6,1,17.0,0,0,0,1,1,100.0
Featherweight Bout,False,False, 3, Decision - Unanimous,, Iuri Alcantara, Michihiro Omigawa, Michihiro Omigawa, Iuri Alcantara,0,1,4,25,0,1,1,48,24,50,42,20,48.0,6,4,67.0,0,0,0,47,23,49.0,1,1,100.0,0,0,0,0,0,0,0,2,5,0,137,60,43,121,46,39.0,15,13,87.0,1,1,100.0,121,44,37.0,2,2,100.0,14,14,100.0
Welterweight Bout,False,False, 1, KO/TKO, Knees to Head In Clinch, Ricardo Funch, Mike Pyle, Ricardo Funch, Mike Pyle,0,0,0,0,0,0,0,8,2,25,6,1,17.0,1,0,0.0,1,1,100.0,8,2,25.0,0,0,0,0,0,0,1,0,0,0,0,0,0,24,11,45,19,6,32.0,3,3,100.0,2,2,100.0,16,6,38.0,2,2,100.0,6,3,50.0
Featherweight Bout,False,False, 3, Decision - Unanimous,, Felipe Arantes, Antonio Carvalho, Antonio Carvalho, Felipe Arantes,0,0,3,0,0,4,0,153,37,24,131,21,17.0,12,8,67.0,10,8,80.0,140,30,22.0,6,4,67.0,7,3,43.0,0,0,0,0,0,1,0,122,53,43,100,36,36.0,11,9,82.0,11,8,73.0,110,47,43.0,5,2,40.0,7,4,58.0
Heavyweight Bout,False,False, 1, KO/TKO, Kick to Body At Distance, Brock Lesnar, Alistair Overeem, Brock Lesnar, Alistair Overeem,0,0,1,0,0,0,0,18,6,33,14,3,22.0,1,1,100.0,3,2,67.0,17,5,30.0,1,1,100.0,0,0,0,1,0,0,0,0,0,0,24,19,79,16,11,69.0,8,8,100.0,0,0,0,4,4,100.0,11,11,100.0,9,4,45.0
Lightweight Bout,False,False, 3, Decision - Unanimous,, Nate Diaz, Donald Cerrone, Donald Cerrone, Nate Diaz,0,0,0,0,0,0,0,182,96,52,136,56,42.0,26,23,89.0,20,17,85.0,168,84,50.0,14,12,86.0,0,0,0,0,0,2,0,0,0,0,362,238,65,315,199,64.0,45,37,83.0,2,2,100.0,345,228,67.0,17,10,59.0,0,0,0
Welterweight Bout,False,False, 1, KO/TKO, Punch to Head At Distance, Jon Fitch, Johny Hendricks, Jon Fitch, Johny Hendricks,0,0,0,0,0,0,0,1,0,0,1,0,0.0,0,0,0,0,0,0,1,0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,2,100,2,2,100.0,0,0,0,0,0,0,1,1,100.0,0,0,0,1,1,100.0
Light Heavyweight Bout,False,False, 1, KO/TKO, Punch to Head At Distance, Vladimir Matyushenko, Alexander Gustafsson, Vladimir Matyushenko, Alexander Gustafsson,0,0,0,0,0,0,0,8,5,62,7,4,58.0,1,1,100.0,0,0,0,8,5,63.0,0,0,0,0,0,0,1,0,0,0,0,0,0,21,10,47,17,7,42.0,1,1,100.0,3,2,67.0,15,6,40.0,0,0,0,6,4,67.0
Featherweight Bout,False,False, 3, Decision - Unanimous,, Nam Phan, Jimy Hettes, Nam Phan, Jimy Hettes,0,0,0,0,0,0,0,42,16,38,34,11,33.0,7,4,58.0,1,1,100.0,37,14,38.0,2,1,50.0,3,1,34.0,0,11,20,55,2,9,0,115,81,70,102,69,68.0,12,11,92.0,1,1,100.0,26,13,50.0,11,8,73.0,78,60,77.0
Featherweight Bout,False,False, 3, Decision - Unanimous,, Ross Pearson, Junior Assuncao, Junior Assuncao, Ross Pearson,0,3,18,16,0,1,0,69,43,62,52,32,62.0,12,8,67.0,5,3,60.0,53,32,61.0,13,10,77.0,3,1,34.0,0,1,1,100,0,0,0,89,52,58,55,28,51.0,23,16,70.0,11,8,73.0,71,39,55.0,18,13,73.0,0,0,0
Lightweight Bout,False,False, 3, Decision - Split,, Anthony Njokuani, Danny Castillo, Anthony Njokuani, Danny Castillo,0,0,2,0,1,0,1,98,44,44,70,22,32.0,21,15,72.0,7,7,100.0,84,34,41.0,14,10,72.0,0,0,0,0,6,18,33,0,3,0,71,33,46,45,11,25.0,6,4,67.0,20,18,90.0,43,8,19.0,25,24,96.0,3,1,34.0
Welterweight Bout,False,False, 3, Decision - Unanimous,, Dong Hyun Kim, Sean Pierson, Sean Pierson, Dong Hyun Kim,0,0,2,0,0,1,0,121,32,26,101,18,18.0,7,4,58.0,13,10,77.0,112,25,23.0,7,5,72.0,2,2,100.0,1,2,4,50,0,1,0,124,53,42,89,28,32.0,6,5,84.0,29,20,69.0,119,50,43.0,2,2,100.0,3,1,34.0
Lightweight Bout,False,False, 3, Decision - Unanimous,, Jacob Volkmann, Efrain Escudero, Efrain Escudero, Jacob Volkmann,0,0,0,0,4,0,0,18,7,38,14,5,36.0,2,1,50.0,2,1,50.0,12,2,17.0,5,4,80.0,1,1,100.0,0,3,9,33,2,5,0,35,17,48,26,13,50.0,3,3,100.0,6,1,17.0,17,3,18.0,1,1,100.0,17,13,77.0
Featherweight Bout,False,False, 3, Decision - Unanimous,, Manvel Gamburyan, Diego Nunes, Manvel Gamburyan, Diego Nunes,0,2,17,11,0,1,0,56,19,33,46,12,27.0,6,3,50.0,4,4,100.0,38,7,19.0,15,9,60.0,3,3,100.0,0,0,0,0,0,0,0,91,42,46,44,9,21.0,22,13,60.0,25,20,80.0,80,34,43.0,11,8,73.0,0,0,0
UFC Light Heavyweight Title Bout,False,False, 2, Submission, Guillotine Choke Standing Technical Submission, Jon Jones, Lyoto Machida, Lyoto Machida, Jon Jones,0,0,1,0,0,0,0,38,13,34,29,7,25.0,4,2,50.0,5,4,80.0,35,13,38.0,3,0,0.0,0,0,0,1,1,2,50,1,0,0,53,24,45,21,6,29.0,13,6,47.0,19,12,64.0,40,14,35.0,9,7,78.0,4,3,75.0
Heavyweight Bout,False,False, 1, Submission, Kimura From Side Control Technical Submission, Frank Mir, Minotauro Nogueira, Minotauro Nogueira, Frank Mir,0,0,1,0,1,0,1,27,21,77,22,16,73.0,5,5,100.0,0,0,0,12,6,50.0,12,12,100.0,3,3,100.0,0,1,2,50,1,2,1,8,6,75,3,1,34.0,3,3,100.0,2,2,100.0,2,0,0.0,6,6,100.0,0,0,0
Light Heavyweight Bout,False,False, 1, KO/TKO, Punches to Body From Guard, Tito Ortiz, Rogerio Nogueira, Tito Ortiz, Rogerio Nogueira,0,0,1,0,0,0,0,17,9,52,14,7,50.0,3,2,67.0,0,0,0,10,4,40.0,7,5,72.0,0,0,0,1,0,0,0,0,0,0,90,54,60,59,26,45.0,31,28,91.0,0,0,0,15,2,14.0,21,15,72.0,54,37,69.0
Welterweight Bout,False,False, 3, Decision - Split,, Claude Patrick, Brian Ebersole, Claude Patrick, Brian Ebersole,0,0,3,0,3,0,0,47,28,59,27,13,49.0,16,14,88.0,4,1,25.0,15,3,20.0,32,25,79.0,0,0,0,0,2,12,16,0,2,0,39,23,58,24,14,59.0,6,2,34.0,9,7,78.0,21,9,43.0,14,10,72.0,4,4,100.0
Featherweight Bout,False,False, 1, KO/TKO, Punch to Head At Distance, Mark Hominick, Chan Sung Jung, Mark Hominick, Chan Sung Jung,0,0,0,0,0,0,0,1,0,0,1,0,0.0,0,0,0,0,0,0,1,0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,10,6,60,10,6,60.0,0,0,0,0,0,0,2,1,50.0,0,0,0,8,5,63.0
Light Heavyweight Bout,False,False, 1, KO/TKO, Punches to Head In Clinch, Krzysztof Soszynski, Igor Pokrajac, Krzysztof Soszynski, Igor Pokrajac,0,0,0,0,0,0,0,8,4,50,7,3,43.0,1,1,100.0,0,0,0,8,4,50.0,0,0,0,0,0,0,1,0,0,0,0,0,0,31,21,67,30,20,67.0,0,0,0,1,1,100.0,15,7,47.0,7,5,72.0,9,9,100.0
Middleweight Bout,False,False, 1, KO/TKO, Punches to Head At Distance, Jared Hamman, Costas Philippou, Jared Hamman, Costas Philippou,0,0,1,0,0,0,0,25,9,36,12,0,0.0,2,2,100.0,11,7,64.0,24,8,34.0,1,1,100.0,0,0,0,3,1,1,100,1,0,0,32,21,65,31,20,65.0,1,1,100.0,0,0,0,24,14,59.0,3,3,100.0,5,4,80.0
Lightweight Bout,False,False, 1, Submission, Rear Naked Choke, John Makdessi, Dennis Hallman, John Makdessi, Dennis Hallman,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,33,1,2,0,32,20,62,32,20,63.0,0,0,0,0,0,0,0,0,0,0,0,0,32,20,63.0
Bantamweight Bout,False,False, 3, Decision - Split,, Walel Watson, Yves Jabouin, Walel Watson, Yves Jabouin,0,0,1,0,2,1,1,163,47,28,112,21,19.0,22,11,50.0,29,15,52.0,157,41,27.0,3,3,100.0,3,3,100.0,0,2,6,33,0,1,0,90,33,36,47,9,20.0,11,5,46.0,32,19,60.0,88,32,37.0,2,1,50.0,0,0,0
